"kenID","school_white_10","school_econ_15","log_price_5","log_price_10","log_avg_price_10"
1,0.2215,0.545,12.2501971806549,11.9106966056084,4.97530720816286
2,0.3279,0.3699,13.4400895712045,13.6939771860802,5.91884896079233
3,0.1181,0.5855,12.334993425597,12.2603740501142,4.78642200414898
4,0.3764,0.4679,11.9815093368373,12.0603905888081,4.72786823426776
5,0.1753,0.5594,12.7648309230515,12.7519661405567,5.75437894298352
6,0.5927,0.2331,12.0338004245892,12.6875947510649,5.28583225084041
7,0.3974,0.3943,12.7780121831544,12.7069152711754,4.87006739369083
8,0.0923,0.5836,12.6973484100514,12.5633624004339,5.08003945876835
9,0.3095,0.457,11.6172854802945,11.9033897322906,4.85803873932413
10,0.1899,0.5091,12.4282156965108,12.4226949798541,4.93439263486205
11,0.256,0.4139,11.8553324368746,11.8797363660969,4.35679600237686
12,0.2723,0.4517,12.5461099483159,12.5482872914854,4.93049624844903
13,0.256,0.4139,11.9421070996957,11.9447078813958,4.42176644384274
14,0.2384,0.4419,12.0137007528827,12.0012600509007,4.53979291319668
15,0.3316,0.4207,13.5648287866566,13.3207735652979,6.21745145225769
16,0.504,0.3276,13.822982572803,13.5583505057818,5.31165502323681
17,0.2674,0.5167,12.0494188354848,12.1207325983632,4.66919044785252
18,0.5572,0.265,13.9843357809279,13.7414182779951,5.97276555558174
19,0.2385,0.4038,11.6298192164417,11.3643094406414,3.79605082917573
20,0.199,0.456,13.2861814626337,12.9224479522093,5.40050520458263
21,0.3131,0.4755,12.1941240444643,12.1883600328012,4.95198730079524
22,0.2613,0.4347,12.3997770874394,12.4360770516626,4.62115671771537
23,0.2342,0.5054,13.7101500423064,13.7101500423064,6.18720915201185
24,0.2544,0.5229,12.8037546342721,12.7337226097192,5.41843988569981
25,0.2679,0.5091,13.3514890003961,13.1196095892077,5.56606786839081
26,0.5685,0.2956,12.5224351005453,12.4674115983915,4.83184828342811
27,0.1899,0.5091,12.2470226318591,12.2637910875528,5.1829693637912
28,0.3053,0.4841,12.418923407359,12.9801611299052,5.48037388822329
29,0.5746,0.25,12.7548585730826,12.5128013404608,5.06848335896115
30,0.1627,0.5323,12.7708891718648,12.5643172943373,5.20040736012132
31,0.2064,0.489,12.0376539939052,12.0886020608684,5.19825777612726
32,0.3059,0.4566,12.7655931909302,12.5280655608866,5.1267493822787
33,0.338,0.5027,12.5974726353135,12.5484026916355,5.20907404607917
34,0.2045,0.4829,11.4499856651964,11.5663609078685,4.43215399962979
35,0.3218,0.5509,12.965709567359,12.8526812917361,5.37705506922669
36,0.6162,0.2709,13.5331476469901,13.5495247435943,5.35099567635877
37,0.4003,0.4354,12.4300158770149,12.4499987360269,5.08663846921777
38,0.2854,0.5293,12.5121777175587,12.4146338172825,4.9007542056583
39,0.3974,0.4371,12.3376490033189,12.3137898821383,4.88075589149762
40,0.6162,0.2628,13.367471922297,13.4282880373934,5.36635771786499
41,0.3399,0.4791,12.233107229174,12.1629315577407,4.87703761356045
42,0.256,0.4149,11.771629191683,11.6998406216772,4.46504222663689
43,0.2857,0.4752,12.4418559771908,12.4496852686837,4.92240208005857
44,0.2555,0.4964,11.9902770318785,11.7673350981584,4.57679951763585
45,0.2389,0.4239,11.9461678540778,11.9434805772674,4.74487821386641
46,0.3102,0.4624,12.9339835060264,12.8063751045443,5.08968920537942
47,0.3159,0.4605,13.2823711566017,13.3376844124614,5.42160964287489
48,0.0912,0.5836,12.5402565516334,12.5288805199573,5.73286511176919
49,0.2733,0.4752,12.3030859197002,12.542227371393,5.01356233944966
50,0.3218,0.5509,12.9119509404438,12.9095276286862,5.41940117089105
51,0.3259,0.4634,12.3684040574476,12.5484401693192,5.11379158222852
52,0.3315,0.4426,12.9733527979313,12.9609679995448,5.17837719344271
53,0.256,0.4038,11.7590039875669,11.8411134820037,4.66949055833294
54,0.2859,0.4332,11.3588851957142,11.3561181343692,4.15596476671297
55,0.2304,0.5841,12.2859230270179,12.2802004588085,5.04098795590518
56,0.3149,0.3242,13.424502934945,13.1145327982891,5.5732074695132
57,0.1827,0.4479,12.8760151684455,12.9131843664405,5.26143447855075
58,0.2845,0.5282,12.2397479632836,12.1140251997157,4.73090992738314
59,0.3622,0.4092,11.5449085108233,11.8729572683466,4.63665916307803
60,0.4181,0.4679,12.9678126175557,12.8101153510073,5.55270102436593
61,0.2854,0.5423,12.6014874177848,12.6612181741104,5.37662611023608
62,0.256,0.4139,12.3956594133155,12.3722930495859,4.849352463059
63,0.4128,0.3943,12.8702538331024,12.8571923526679,4.8719646227349
64,0.2662,0.5157,11.3873622419949,11.5826598389429,4.51650289327193
65,0.338,0.5027,12.3717989259744,12.5005205281819,5.30651467660921
66,0.2064,0.5289,12.4250475199722,12.2023657835988,4.86596783934558
67,0.3965,0.4039,13.2147602266703,12.9954386838307,5.87733990511148
68,0.3695,0.4749,12.2200613458352,12.1914598974823,4.79703357436916
69,0.2721,0.4713,11.7636841833174,11.8049777242297,4.68204881632114
70,0.3768,0.3702,12.7137934543427,12.9799238535051,5.46775798578616
71,0.0697,0.6015,11.7613468234687,11.740119203193,4.31883254271959
72,0.1481,0.575,12.7457954449441,12.4775088826253,4.99112554390739
73,0.2069,0.5846,12.5235258763151,12.1593085524918,4.6819821419375
74,0.5383,0.2589,13.8660135401374,13.7703388392827,5.33738422171194
75,0.3377,0.5188,12.8646283813205,12.9960692247799,5.33959269829544
76,0.3104,0.4415,12.6767791526993,12.5865617675682,4.93703611556203
77,0.2045,0.4829,12.0413453971372,12.0141335598143,4.59323828311727
78,0.4305,0.3146,12.5723637060629,12.5409619975503,5.44798185559554
79,0.2733,0.4752,12.6975625329894,12.5830620683937,5.13628949293317
80,0.5685,0.2956,12.3471250592367,12.6065579677272,4.68420130525548
81,0.5685,0.2672,11.7242393205309,11.7454911545992,4.68878772709296
82,0.248,0.5167,11.9576112862317,11.9919507761864,4.65890619451875
83,0.3064,0.4721,12.2578782586601,12.2351842065121,4.8125412022641
84,0.2445,0.5211,11.3009691030466,11.413959276403,4.56695728482166
85,0.256,0.4149,12.1771586353655,12.139657164004,4.61671627264841
86,0.3361,0.5188,13.5371185324196,13.3053347230398,5.78765292409326
87,0.2227,0.536,12.5244536467312,12.6682009008911,5.29913553175958
88,0.1429,0.5221,13.2176735572087,13.0454823330684,5.54761821337825
89,0.2385,0.4044,11.418614785499,11.5186440824637,3.70064002667856
90,0.3021,0.4855,12.1953907971833,12.0060961534975,4.71329607447544
91,0.2549,0.4149,11.9250351157971,11.9630452136188,4.44010448681198
92,0.2227,0.536,12.3657437738888,12.3180594711246,5.23365190402042
93,0.1616,0.4833,11.8226136176846,11.8721527044299,4.53830148542325
94,0.3695,0.4749,12.3140297870353,12.1694086611586,4.74244207422832
95,0.378,0.4285,12.5321337308511,12.4390785151117,4.87753200030054
96,0.3899,0.466,12.4672823976508,12.3569059242908,4.72985291944629
97,0.2344,0.4739,12.3604233053601,12.4291361936442,4.94362830657864
98,0.3164,0.5355,12.6163710543992,12.4393046920138,5.22039041907454
99,0.0721,0.5967,12.7621106121177,12.8876784802436,5.46008794109809
100,0.5119,0.2956,12.3406472438264,12.2950217272901,4.84859311368067
101,0.2225,0.4829,11.9272214657131,11.8378744200139,4.57485014407714
102,0.3974,0.3943,12.7100549068142,12.5867753469457,4.82625481918432
103,0.314,0.3765,13.0875130999686,12.9812317474352,5.38210735209001
104,0.256,0.4149,13.4588356140255,13.2844822268808,5.79837482112224
105,0.2549,0.4149,12.2264878302728,12.1258165817645,4.60287555533569
106,0.2412,0.437,11.5725142563819,11.6268789550461,4.25218414396226
107,0.2272,0.4246,11.8412215103073,11.8524644229622,4.66210329667141
108,0.2837,0.4896,11.7370685166175,11.697328187968,4.81653908739059
109,0.2021,0.5969,12.4301157920872,12.346187786393,5.07639119892151
110,0.2528,0.4038,12.0845827479425,12.7174587122187,5.21702813228294
